Restaurant_seq_ID,restaurant_ID,restaurant_name,country_code,Country,city,Address,locality,locality_verbose,restaurant_latitude,restaurant_longitude,cuisines,average_cost_for_two,currency,has_table_booking,has_online_delivery,is_delivering_now,switch_to_order_menu,price_range,aggregate_rating,rating_color,rating_text,rating_votes
4734,5800557,Chinese Dragon Cafe,191,Sri Lanka,Colombo,"11, Milagiriya Avenue, Bambalapitiya, Colombo 04","Bambalapitiya, Colombo 04","Bambalapitiya, Colombo 04, Colombo",6.886341,79.856678,Chinese,2000,LKR,N,N,N,N,3,3.4,CDD614,Average,118
4735,5800567,CIOCONAT Lounge,191,Sri Lanka,Colombo,"107, Barnes Place, Cinnamon Gardens, Colombo 07","Cinnamon Gardens, Colombo 07","Cinnamon Gardens, Colombo 07, Colombo",6.912806,79.875114,"Italian, Cafe, Desserts",2500,LKR,N,N,N,N,3,3.7,9ACD32,Good,157
4736,5800590,The Commons,191,Sri Lanka,Colombo,"39 A, Flower Road, Cinnamon Gardens, Colombo 07","Cinnamon Gardens, Colombo 07","Cinnamon Gardens, Colombo 07, Colombo",6.908536,79.858105,"Cafe, Sri Lankan, Continental, American",2500,LKR,N,N,N,N,3,4.0,5BA829,Very Good,209
4737,5800612,Burger's King,191,Sri Lanka,Colombo,"1, Vellons Passage, Slave Island, Colombo 02","Slave Island, Colombo 02","Slave Island, Colombo 02, Colombo",6.923933,79.850748,Fast Food,1000,LKR,N,N,N,N,2,4.1,5BA829,Very Good,199
4738,5800634,Elite Indian Restaurant,191,Sri Lanka,Colombo,"124, New Bullers Road, Bambalapitiya, Colombo 04","Bambalapitiya, Colombo 04","Bambalapitiya, Colombo 04, Colombo",6.896084,79.857830,"North Indian, Chinese, Sri Lankan",1800,LKR,N,N,N,N,2,2.4,FF7800,Poor,240
4739,5800710,The Manhattan Fish Market,191,Sri Lanka,Colombo,"31, Deal Place, Off R.A. De Mel Mawatha, Kollupitiya, Colombo 03","Kollupitiya, Colombo 03","Kollupitiya, Colombo 03, Colombo",6.906814,79.853364,"Seafood, Italian",4500,LKR,N,N,N,N,4,4.0,5BA829,Very Good,196
4740,5800718,Simply Strawberries By Jagro,191,Sri Lanka,Colombo,"131, Vijaya Kumaratunge Mawathu, Havelock Town, Colombo 05","Havelock Town, Colombo 05","Havelock Town, Colombo 05, Colombo",6.883739,79.879433,"Juices, Desserts",1300,LKR,N,N,N,N,2,4.5,3F7E00,Excellent,146
4741,5800746,T.G.I. Friday's,191,Sri Lanka,Colombo,"23, Canal Row, Fort, Colombo 01","Fort, Colombo 01","Fort, Colombo 01, Colombo",6.932547,79.843575,"American, Steak",4000,LKR,N,N,N,N,4,4.0,5BA829,Very Good,166
4742,5800755,Upali's,191,Sri Lanka,Colombo,"65, C.W.W Kannangara Mawatha, Near Town Hall, Cinnamon Gardens, Colombo 07","Cinnamon Gardens, Colombo 07","Cinnamon Gardens, Colombo 07, Colombo",6.912529,79.864727,Sri Lankan,2500,LKR,N,N,N,N,3,4.0,5BA829,Very Good,114
4743,5800758,Cafe Shaze,191,Sri Lanka,Colombo,"65, Thimbirigasaya Road, Havelock Town, Colombo 05","Havelock Town, Colombo 05","Havelock Town, Colombo 05, Colombo",6.890906,79.865639,"Cafe, Fast Food, Beverages",3500,LKR,N,N,N,N,3,3.8,9ACD32,Good,81
4744,5800891,The Paddington,191,Sri Lanka,Colombo,"36, Barnes Place, Cinnamon Gardens, Colombo 07","Cinnamon Gardens, Colombo 07","Cinnamon Gardens, Colombo 07, Colombo",6.913292,79.868492,"Cafe, Italian",2000,LKR,N,N,N,N,3,3.6,9ACD32,Good,83
4745,5801078,Arabian Knights,191,Sri Lanka,Colombo,"377, Opposite Amana Bank, Galle Road, Kollupitiya, Colombo 03","Kollupitiya, Colombo 03","Kollupitiya, Colombo 03, Colombo",6.904392,79.852248,"Middle Eastern, Arabian",2400,LKR,N,N,N,N,3,4.2,5BA829,Very Good,158
4746,5801321,Cafe Beverly,191,Sri Lanka,Colombo,"475/C, Sri Jayawardenapura Mawatha, Welikada, Rajagiriya, Colombo","Rajagiriya, Colombo","Rajagiriya, Colombo, Colombo",6.906815,79.902941,"Continental, American",2000,LKR,N,N,N,N,3,4.1,5BA829,Very Good,58
4747,5801970,Butter Boutique,191,Sri Lanka,Colombo,"34, 27th Lane, Kollupitiya, Colombo 03","Kollupitiya, Colombo 03","Kollupitiya, Colombo 03, Colombo",6.906860,79.856148,"Desserts, Bakery",1000,LKR,N,N,N,N,2,4.2,5BA829,Very Good,49
4748,5901782,Starbucks,208,Turkey,İstanbul,"Bebek Mahallesi, Cevdetpaşa Caddesi, No 30/A, Beşiktaş, İstanbul",Bebek,"Bebek, İstanbul",41.077696,29.043734,Cafe,30,TL,N,N,N,N,2,4.9,3F7E00,Excellent,1042
4749,5902117,Valonia,208,Turkey,İstanbul,"Türkali Mahallesi, Ihlamurdere Caddesi, No 40/B, Beşiktaş, İstanbul",Beşiktaş Merkez,"Beşiktaş Merkez, İstanbul",41.044813,29.002896,"Restaurant Cafe, Desserts",80,TL,N,N,N,N,3,4.2,5BA829,Very Good,874
4750,5904116,J'adore Chocolatier,208,Turkey,İstanbul,"Asmalımescit Mahallesi, İstiklal Caddesi, Emir Nevruz Sokak, No 2/H, Beyoğlu, İstanbul",Asmalımescit,"Asmalımescit, İstanbul",41.033002,28.976127,Desserts,50,TL,N,N,N,N,2,4.7,3F7E00,Excellent,1311
4751,5905215,Emirgan Sütiş,208,Turkey,İstanbul,"Emirgan Mahallesi, Sakıp Sabancı Caddesi, No 46, Sarıyer, İstanbul",Emirgân,"Emirgân, İstanbul",41.104969,29.056620,"Restaurant Cafe, Turkish, Desserts",75,TL,N,N,N,N,3,4.2,5BA829,Very Good,877
4752,5907325,Bayramoğlu Döner,208,Turkey,İstanbul,"Rüzgarlıbahçe Mahallesi, G-69 Sokak, No 2, Beykoz, İstanbul",Rüzgarlıbahçe,"Rüzgarlıbahçe, İstanbul",41.094948,29.099181,Döner,50,TL,N,N,N,N,2,4.8,3F7E00,Excellent,1117
4753,5908736,Big Chefs,208,Turkey,İstanbul,"Tarabya Mahallesi, Yeniköy Tarabya Caddesi, No 80, Sarıyer, İstanbul",Tarabya Merkez,"Tarabya Merkez, İstanbul",41.136905,29.058402,World Cuisine,160,TL,N,N,N,N,4,4.0,5BA829,Very Good,645
4754,5908749,Ceviz Ağacı,208,Turkey,İstanbul,"Koşuyolu Mahallesi, Muhittin Üstündağ Caddesi, No 85, Kadıköy, İstanbul",Koşuyolu,"Koşuyolu, İstanbul",41.009847,29.041297,"World Cuisine, Patisserie, Cafe",105,TL,N,N,N,N,3,4.2,5BA829,Very Good,1034
4755,5912546,Eataly,208,Turkey,İstanbul,"Zorlu Center AVM, Köprü Katı, Levazım Mahallesi, Barbaros Bulvarı Kavşağı, Koru Sokak, No 2, Beşiktaş, İstanbul","Zorlu Center AVM, Levazım, Beşiktaş","Zorlu Center AVM, Levazım, Beşiktaş, İstanbul",41.066069,29.017171,"Italian, Pizza, Fresh Fish",180,TL,N,N,N,N,4,4.1,5BA829,Very Good,843
4756,5913494,Filizler Köftecisi,208,Turkey,İstanbul,"Salacak Mahallesi, Üsküdar Harem Sahil Yolu, No 61, Üsküdar, İstanbul",Salacak,"Salacak, İstanbul",41.022556,29.007007,"Izgara, Steak",90,TL,N,N,N,N,3,3.7,9ACD32,Good,687
4757,5915054,Baltazar,208,Turkey,İstanbul,"Kemankeş Karamustafa Paşa Mahallesi, Kılıç Ali Paşa Mescidi Sokak, No 12/A, Beyoğlu, İstanbul",Karaköy,"Karaköy, İstanbul",41.025785,28.981103,"Burger, Izgara",90,TL,N,N,N,N,3,4.3,5BA829,Very Good,870
4758,5915547,Karaköy Güllüoğlu,208,Turkey,İstanbul,"Kemankeş Karamustafa Paşa Mahallesi, Rıhtım Caddesi, Katlı Otopark Altı, No 4, Beyoğlu, İstanbul",Karaköy,"Karaköy, İstanbul",41.022904,28.977636,"Desserts, Börek",40,TL,N,N,N,N,2,4.7,3F7E00,Excellent,1305
4759,5915730,Namlı Gurme,208,Turkey,İstanbul,"Kemankeş Karamustafa Paşa Mahallesi, Rıhtım Caddesi, No 1/1, Katlı Otopark Altı,  Beyoğlu, İstanbul",Karaköy,"Karaköy, İstanbul",41.022793,28.977392,Turkish,80,TL,N,N,N,N,3,4.1,5BA829,Very Good,788
4760,5915807,Huqqa,208,Turkey,İstanbul,"Kuruçeşme Mahallesi, Muallim Naci Caddesi, No 56, Beşiktaş, İstanbul",Kuruçeşme,"Kuruçeşme, İstanbul",41.055817,29.034640,"Italian, World Cuisine",170,TL,N,N,N,N,4,3.7,9ACD32,Good,661
4761,5916085,Dem Karaköy,208,Turkey,İstanbul,"Kemankeş Karamustafa Paşa Mahallesi, Hoca Tahsin Sokak, No 17, Beyoğlu, İstanbul",Karaköy,"Karaköy, İstanbul",41.024633,28.978237,Cafe,35,TL,N,N,N,N,2,4.5,3F7E00,Excellent,761
4762,5916112,Aşşk Kahve,208,Turkey,İstanbul,"Kuruçeşme Mahallesi, Muallim Naci Caddesi, No 64/B, Beşiktaş, İstanbul",Kuruçeşme,"Kuruçeşme, İstanbul",41.057979,29.036019,Restaurant Cafe,120,TL,N,N,N,N,4,4.0,5BA829,Very Good,901
4763,5919120,Virginia Angus,208,Turkey,İstanbul,"Halaskargazi Mahallesi, Valikonağı Caddesi, Kuyumcu İrfan Sokak, No 8, Şişli, İstanbul",Nişantaşı,"Nişantaşı, İstanbul",41.051230,28.990261,"Steak, Burger",70,TL,N,N,N,N,3,4.2,5BA829,Very Good,652
4764,5920764,MOC İstanbul,208,Turkey,İstanbul,"Teşvikiye Mahallesi, Şakayık Sokak, No 4, Şişli, İstanbul",Nişantaşı,"Nişantaşı, İstanbul",41.049272,28.996053,Cafe,60,TL,N,N,N,N,3,4.6,3F7E00,Excellent,622
4765,5926979,Leman Kültür,208,Turkey,İstanbul,"Caferağa Mahallesi, Neşet Ömer Sokak, No 9/A, Kadıköy, İstanbul",Kadıköy Merkez,"Kadıköy Merkez, İstanbul",40.989705,29.022805,Restaurant Cafe,80,TL,N,N,N,N,3,3.7,9ACD32,Good,506
4766,5927248,Draft Gastro Pub,208,Turkey,İstanbul,"Caddebostan Mahallesi, Bağdat Caddesi, No 349, Kat 1, Kadıköy, İstanbul",Caddebostan,"Caddebostan, İstanbul",40.963935,29.074116,Bar Food,130,TL,N,N,N,N,4,4.9,3F7E00,Excellent,522
4767,5927402,Walter's Coffee Roastery,208,Turkey,İstanbul,"Cafeağa Mahallesi, Bademaltı Sokak, No 21/B, Kadıköy, İstanbul",Moda,"Moda, İstanbul",40.984776,29.026016,Cafe,55,TL,N,N,N,N,2,4.0,5BA829,Very Good,591
4768,6000019,Nusr-Et,208,Turkey,Ankara,"Gaziosmanpaşa Mahallesi, Şehit Ömer Haluk Sipahioğlu Sokak, No 8, Çankaya, Ankara",Gazi Osman Paşa,"Gazi Osman Paşa, Ankara",39.899667,32.864833,Steak,400,TL,N,N,N,N,4,4.1,5BA829,Very Good,97
